T/1	Light:0	Pupil:0	
128	0.5000	0.2000	
129	0.5000	0.2000	
130	0.5000	0.2000	
131	0.5000	0.2000	
132	0.5000	0.2000	
133	0.5000	0.2000	
134	0.5000	0.2000	
135	0.5000	0.2000	
136	0.5000	0.2000	
137	0.5000	0.2000	
138	0.5000	0.2000	
139	0.5000	0.2000	
140	0.5000	0.2000	
141	0.5000	0.2000	
142	0.5000	0.2000	
143	0.5000	0.2000	
144	0.5000	0.2000	
145	0.5000	0.2000	
146	0.5000	0.2000	
147	0.5000	0.2000	
148	0.5000	0.2000	
149	0.5000	0.2000	
150	0.5000	0.2000	
151	0.5000	0.2000	
152	0.5000	0.2000	
153	0.5000	0.2000	
154	0.5000	0.2000	
155	0.5000	0.2000	
156	0.5000	0.2000	
157	0.5000	0.2000	
158	0.5000	0.2000	
159	0.5000	0.2000	
160	0.5000	0.2000	
161	0.5000	0.2000	
162	0.5000	0.2000	
163	0.5000	0.2000	
164	0.5000	0.2000	
165	0.5000	0.2000	
166	0.5000	0.2000	
167	0.5000	0.2000	
168	0.5000	0.2000	
169	0.5000	0.2000	
170	0.5000	0.2000	
171	0.5000	0.2000	
172	0.5000	0.2000	
173	0.5000	0.2000	
174	0.5000	0.2000	
175	0.5000	0.2000	
176	0.5000	0.2000	
177	0.5000	0.2000	
178	0.5000	0.2000	
179	0.5000	0.2000	
180	0.5000	0.2000	
181	0.5000	0.2000	
182	0.5000	0.2000	
183	0.5000	0.2000	
184	0.5000	0.2000	
185	0.5000	0.2000	
186	0.5000	0.2000	
187	0.5000	0.2000	
188	0.5000	0.2000	
189	0.5000	0.2000	
190	0.5000	0.2000	
191	0.5000	0.2000	
192	0.5000	0.2000	
193	0.5000	0.2000	
194	0.5000	0.2000	
195	0.5000	0.2000	
196	0.5000	0.2000	
197	0.5000	0.2000	
198	0.5000	0.2000	
199	0.5000	0.2000	
200	0.5000	0.2000	
201	0.5000	0.2000	
202	0.5000	0.2000	
203	0.5000	0.2000	
204	0.5000	0.2000	
205	0.5000	0.2000	
206	0.5000	0.2000	
207	0.5000	0.2000	
208	0.5000	0.2000	
209	0.5000	0.2000	
210	0.5000	0.2000	
211	0.5000	0.2000	
212	0.5000	0.2000	
213	0.5000	0.2000	
214	0.5000	0.2000	
215	0.5000	0.2000	
216	0.5000	0.2000	
217	0.5000	0.2000	
218	0.5000	0.2000	
219	0.5000	0.2000	
220	0.5000	0.2000	
221	0.5000	0.2000	
222	0.5000	0.2000	
223	0.5000	0.2000	
224	0.5000	0.2000	
225	0.5000	0.2000	
226	0.5000	0.2000	
227	0.5000	0.2000	
228	0.5000	0.2000	
229	0.5000	0.2000	
230	0.5000	0.2000	
231	0.5000	0.2000	
232	0.5000	0.2000	
233	0.5000	0.2000	
234	0.5000	0.2000	
235	0.5000	0.2000	
236	0.5000	0.2000	
237	0.5000	0.2000	
238	0.5000	0.2000	
239	0.5000	0.2000	
240	0.5000	0.2000	
241	0.5000	0.2000	
242	0.5000	0.2000	
243	0.5000	0.2000	
244	0.5000	0.2000	
245	0.5000	0.2000	
246	0.5000	0.2000	
247	0.5000	0.2000	
248	0.5000	0.2000	
249	0.5000	0.2000	
250	0.5000	0.2000	
251	0.5000	0.2000	
252	0.5000	0.2000	
253	0.5000	0.2000	
254	0.5000	0.2000	
255	0.5000	0.2000	
256	0.5000	0.2000	
257	0.5000	0.2000	
258	0.5000	0.2000	
259	0.5000	0.2000	
260	0.5000	0.2000	
261	0.5000	0.2000	
262	0.5000	0.2000	
263	0.5000	0.2000	
264	0.5000	0.2000	
265	0.5000	0.2000	
266	0.5000	0.2000	
267	0.5000	0.2000	
268	0.5000	0.2000	
269	0.5000	0.2000	
270	0.5000	0.2000	
271	0.5000	0.2000	
272	0.5000	0.2000	
273	0.5000	0.2000	
274	0.5000	0.2000	
275	0.5000	0.2000	
276	0.5000	0.2000	
277	0.5000	0.2000	
278	0.5000	0.2000	
279	0.5000	0.2000	
280	0.5000	0.2000	
281	0.5000	0.2000	
282	0.5000	0.2000	
283	0.5000	0.2000	
284	0.5000	0.2000	
285	0.5000	0.2000	
286	0.5000	0.2000	
287	0.5000	0.2000	
288	0.5000	0.2000	
289	0.5000	0.2000	
290	0.5000	0.2000	
291	0.5000	0.2000	
292	0.5000	0.2000	
293	0.5000	0.2000	
294	0.5000	0.2000	
295	0.5000	0.2000	
296	0.5000	0.2000	
297	0.5000	0.2000	
298	0.5000	0.2000	
299	0.5000	0.2000	
300	0.5000	0.2000	
301	0.5000	0.2000	
302	0.5000	0.2000	
303	0.5000	0.2000	
304	0.5000	0.2000	
305	0.5000	0.2000	
306	0.5000	0.2000	
307	0.5000	0.2000	
308	0.5000	0.2000	
309	0.5000	0.2000	
310	0.5000	0.2000	
311	0.5000	0.2000	
312	0.5000	0.2000	
313	0.5000	0.2000	
314	0.5000	0.2000	
315	0.5000	0.2000	
316	0.5000	0.2000	
317	0.5000	0.2000	
318	0.5000	0.2000	
319	0.5000	0.2000	
