T/1	SERVOIX/3			SERVOSPEED/3			
118	2	0	0	0.00	0.00	1.00	
119	2	0	0	0.00	0.00	1.00	
120	2	0	0	0.00	0.00	1.00	
121	2	0	0	0.00	0.00	1.00	
122	2	0	0	0.25	0.00	0.00	
123	0	0	0	0.25	0.00	0.00	
124	0	0	0	0.25	0.00	0.00	
125	0	0	0	0.25	0.00	0.00	
126	0	0	0	0.25	0.00	0.00	
127	0	0	0	0.25	0.00	0.00	
128	0	0	0	0.25	0.00	0.00	
129	0	0	0	0.25	0.00	0.00	
130	0	0	0	0.25	0.00	0.00	
131	0	0	0	0.25	0.00	0.00	
132	0	0	0	0.50	0.00	0.00	
133	0	0	0	0.50	0.00	0.00	
134	0	0	0	0.50	0.00	0.00	
135	0	0	0	0.50	0.00	0.00	
136	0	0	0	0.50	0.00	0.00	
137	0	0	0	0.50	0.00	0.00	
138	0	0	0	0.50	0.00	0.00	
139	0	0	0	0.50	0.00	0.00	
140	0	0	0	0.50	0.00	0.00	
141	0	0	0	0.50	0.00	0.00	
142	0	0	0	0.75	0.00	0.00	
143	0	0	0	0.75	0.00	0.00	
144	0	0	0	0.75	0.00	0.00	
145	0	0	0	0.75	0.00	0.00	
146	0	0	0	0.75	0.00	0.00	
147	0	0	0	0.75	0.00	0.00	
148	0	0	0	0.75	0.00	0.00	
149	0	0	0	0.75	0.00	0.00	
150	0	0	0	0.75	0.00	0.00	
151	0	0	0	0.75	0.00	0.00	
152	0	0	0	1.00	0.00	0.00	
153	0	0	0	1.00	0.00	0.00	
154	0	0	0	1.00	0.00	0.00	
155	0	0	0	1.00	0.00	0.00	
156	0	0	0	1.00	0.00	0.00	
157	0	0	0	1.00	0.00	0.00	
158	0	0	0	1.00	0.00	0.00	
159	0	0	0	1.00	0.00	0.00	
160	0	0	0	1.00	0.00	0.00	
161	0	0	0	1.00	0.00	0.00	
162	0	0	0	0.00	0.25	0.00	
163	1	0	0	0.00	0.25	0.00	
164	1	0	0	0.00	0.25	0.00	
165	1	0	0	0.00	0.25	0.00	
166	1	0	0	0.00	0.25	0.00	
167	1	0	0	0.00	0.25	0.00	
168	1	0	0	0.00	0.25	0.00	
169	1	0	0	0.00	0.25	0.00	
170	1	0	0	0.00	0.25	0.00	
171	1	0	0	0.00	0.25	0.00	
172	1	0	0	0.00	0.50	0.00	
173	1	0	0	0.00	0.50	0.00	
174	1	0	0	0.00	0.50	0.00	
175	1	0	0	0.00	0.50	0.00	
176	1	0	0	0.00	0.50	0.00	
177	1	0	0	0.00	0.50	0.00	
178	1	0	0	0.00	0.50	0.00	
179	1	0	0	0.00	0.50	0.00	
180	1	0	0	0.00	0.50	0.00	
181	1	0	0	0.00	0.50	0.00	
182	1	0	0	0.00	0.75	0.00	
183	1	0	0	0.00	0.75	0.00	
184	1	0	0	0.00	0.75	0.00	
185	1	0	0	0.00	0.75	0.00	
186	1	0	0	0.00	0.75	0.00	
187	1	0	0	0.00	0.75	0.00	
188	1	0	0	0.00	0.75	0.00	
189	1	0	0	0.00	0.75	0.00	
190	1	0	0	0.00	0.75	0.00	
191	1	0	0	0.00	0.75	0.00	
192	1	0	0	0.00	1.00	0.00	
193	1	0	0	0.00	1.00	0.00	
194	1	0	0	0.00	1.00	0.00	
195	1	0	0	0.00	1.00	0.00	
196	1	0	0	0.00	1.00	0.00	
197	1	0	0	0.00	1.00	0.00	
198	1	0	0	0.00	1.00	0.00	
199	1	0	0	0.00	1.00	0.00	
200	1	0	0	0.00	1.00	0.00	
201	1	0	0	0.00	1.00	0.00	
202	1	0	0	0.00	0.00	0.25	
203	2	0	0	0.00	0.00	0.25	
204	2	0	0	0.00	0.00	0.25	
205	2	0	0	0.00	0.00	0.25	
206	2	0	0	0.00	0.00	0.25	
207	2	0	0	0.00	0.00	0.25	
208	2	0	0	0.00	0.00	0.25	
209	2	0	0	0.00	0.00	0.25	
210	2	0	0	0.00	0.00	0.25	
211	2	0	0	0.00	0.00	0.25	
212	2	0	0	0.00	0.00	0.50	
213	2	0	0	0.00	0.00	0.50	
214	2	0	0	0.00	0.00	0.50	
215	2	0	0	0.00	0.00	0.50	
216	2	0	0	0.00	0.00	0.50	
217	2	0	0	0.00	0.00	0.50	
218	2	0	0	0.00	0.00	0.50	
219	2	0	0	0.00	0.00	0.50	
220	2	0	0	0.00	0.00	0.50	
221	2	0	0	0.00	0.00	0.50	
222	2	0	0	0.00	0.00	0.75	
223	2	0	0	0.00	0.00	0.75	
224	2	0	0	0.00	0.00	0.75	
225	2	0	0	0.00	0.00	0.75	
226	2	0	0	0.00	0.00	0.75	
227	2	0	0	0.00	0.00	0.75	
228	2	0	0	0.00	0.00	0.75	
229	2	0	0	0.00	0.00	0.75	
230	2	0	0	0.00	0.00	0.75	
231	2	0	0	0.00	0.00	0.75	
232	2	0	0	0.00	0.00	1.00	
233	2	0	0	0.00	0.00	1.00	
234	2	0	0	0.00	0.00	1.00	
235	2	0	0	0.00	0.00	1.00	
236	2	0	0	0.00	0.00	1.00	
237	2	0	0	0.00	0.00	1.00	
238	2	0	0	0.00	0.00	1.00	
239	2	0	0	0.00	0.00	1.00	
240	2	0	0	0.00	0.00	1.00	
241	2	0	0	0.00	0.00	1.00	
242	2	0	0	0.25	0.00	0.00	
243	0	0	0	0.25	0.00	0.00	
244	0	0	0	0.25	0.00	0.00	
245	0	0	0	0.25	0.00	0.00	
246	0	0	0	0.25	0.00	0.00	
247	0	0	0	0.25	0.00	0.00	
248	0	0	0	0.25	0.00	0.00	
249	0	0	0	0.25	0.00	0.00	
250	0	0	0	0.25	0.00	0.00	
251	0	0	0	0.25	0.00	0.00	
252	0	0	0	0.50	0.00	0.00	
253	0	0	0	0.50	0.00	0.00	
254	0	0	0	0.50	0.00	0.00	
255	0	0	0	0.50	0.00	0.00	
256	0	0	0	0.50	0.00	0.00	
257	0	0	0	0.50	0.00	0.00	
258	0	0	0	0.50	0.00	0.00	
259	0	0	0	0.50	0.00	0.00	
260	0	0	0	0.50	0.00	0.00	
261	0	0	0	0.50	0.00	0.00	
262	0	0	0	0.75	0.00	0.00	
263	0	0	0	0.75	0.00	0.00	
264	0	0	0	0.75	0.00	0.00	
265	0	0	0	0.75	0.00	0.00	
266	0	0	0	0.75	0.00	0.00	
267	0	0	0	0.75	0.00	0.00	
268	0	0	0	0.75	0.00	0.00	
269	0	0	0	0.75	0.00	0.00	
270	0	0	0	0.75	0.00	0.00	
271	0	0	0	0.75	0.00	0.00	
272	0	0	0	1.00	0.00	0.00	
273	0	0	0	1.00	0.00	0.00	
274	0	0	0	1.00	0.00	0.00	
275	0	0	0	1.00	0.00	0.00	
276	0	0	0	1.00	0.00	0.00	
277	0	0	0	1.00	0.00	0.00	
278	0	0	0	1.00	0.00	0.00	
279	0	0	0	1.00	0.00	0.00	
280	0	0	0	1.00	0.00	0.00	
281	0	0	0	1.00	0.00	0.00	
282	0	0	0	0.00	0.25	0.00	
283	1	0	0	0.00	0.25	0.00	
284	1	0	0	0.00	0.25	0.00	
285	1	0	0	0.00	0.25	0.00	
286	1	0	0	0.00	0.25	0.00	
287	1	0	0	0.00	0.25	0.00	
288	1	0	0	0.00	0.25	0.00	
289	1	0	0	0.00	0.25	0.00	
290	1	0	0	0.00	0.25	0.00	
291	1	0	0	0.00	0.25	0.00	
292	1	0	0	0.00	0.50	0.00	
293	1	0	0	0.00	0.50	0.00	
294	1	0	0	0.00	0.50	0.00	
295	1	0	0	0.00	0.50	0.00	
296	1	0	0	0.00	0.50	0.00	
297	1	0	0	0.00	0.50	0.00	
298	1	0	0	0.00	0.50	0.00	
299	1	0	0	0.00	0.50	0.00	
300	1	0	0	0.00	0.50	0.00	
301	1	0	0	0.00	0.50	0.00	
302	1	0	0	0.00	0.75	0.00	
303	1	0	0	0.00	0.75	0.00	
304	1	0	0	0.00	0.75	0.00	
305	1	0	0	0.00	0.75	0.00	
306	1	0	0	0.00	0.75	0.00	
307	1	0	0	0.00	0.75	0.00	
308	1	0	0	0.00	0.75	0.00	
309	1	0	0	0.00	0.75	0.00	
310	1	0	0	0.00	0.75	0.00	
311	1	0	0	0.00	0.75	0.00	
312	1	0	0	0.00	1.00	0.00	
313	1	0	0	0.00	1.00	0.00	
314	1	0	0	0.00	1.00	0.00	
315	1	0	0	0.00	1.00	0.00	
316	1	0	0	0.00	1.00	0.00	
317	1	0	0	0.00	1.00	0.00	
318	1	0	0	0.00	1.00	0.00	
319	1	0	0	0.00	1.00	0.00	
320	1	0	0	0.00	1.00	0.00	
321	1	0	0	0.00	1.00	0.00	
322	1	0	0	0.00	0.00	0.25	
323	2	0	0	0.00	0.00	0.25	
324	2	0	0	0.00	0.00	0.25	
325	2	0	0	0.00	0.00	0.25	
326	2	0	0	0.00	0.00	0.25	
327	2	0	0	0.00	0.00	0.25	
328	2	0	0	0.00	0.00	0.25	
329	2	0	0	0.00	0.00	0.25	
330	2	0	0	0.00	0.00	0.25	
331	2	0	0	0.00	0.00	0.25	
332	2	0	0	0.00	0.00	0.50	
333	2	0	0	0.00	0.00	0.50	
334	2	0	0	0.00	0.00	0.50	
335	2	0	0	0.00	0.00	0.50	
336	2	0	0	0.00	0.00	0.50	
337	2	0	0	0.00	0.00	0.50	
338	2	0	0	0.00	0.00	0.50	
339	2	0	0	0.00	0.00	0.50	
340	2	0	0	0.00	0.00	0.50	
341	2	0	0	0.00	0.00	0.50	
342	2	0	0	0.00	0.00	0.75	
343	2	0	0	0.00	0.00	0.75	
344	2	0	0	0.00	0.00	0.75	
345	2	0	0	0.00	0.00	0.75	
346	2	0	0	0.00	0.00	0.75	
347	2	0	0	0.00	0.00	0.75	
348	2	0	0	0.00	0.00	0.75	
349	2	0	0	0.00	0.00	0.75	
350	2	0	0	0.00	0.00	0.75	
351	2	0	0	0.00	0.00	0.75	
352	2	0	0	0.00	0.00	1.00	
353	2	0	0	0.00	0.00	1.00	
354	2	0	0	0.00	0.00	1.00	
355	2	0	0	0.00	0.00	1.00	
356	2	0	0	0.00	0.00	1.00	
357	2	0	0	0.00	0.00	1.00	
358	2	0	0	0.00	0.00	1.00	
359	2	0	0	0.00	0.00	1.00	
360	2	0	0	0.00	0.00	1.00	
361	2	0	0	0.00	0.00	1.00	
362	2	0	0	0.25	0.00	0.00	
363	0	0	0	0.25	0.00	0.00	
364	0	0	0	0.25	0.00	0.00	
365	0	0	0	0.25	0.00	0.00	
366	0	0	0	0.25	0.00	0.00	
367	0	0	0	0.25	0.00	0.00	
368	0	0	0	0.25	0.00	0.00	
369	0	0	0	0.25	0.00	0.00	
370	0	0	0	0.25	0.00	0.00	
371	0	0	0	0.25	0.00	0.00	
372	0	0	0	0.50	0.00	0.00	
373	0	0	0	0.50	0.00	0.00	
374	0	0	0	0.50	0.00	0.00	
375	0	0	0	0.50	0.00	0.00	
376	0	0	0	0.50	0.00	0.00	
377	0	0	0	0.50	0.00	0.00	
378	0	0	0	0.50	0.00	0.00	
379	0	0	0	0.50	0.00	0.00	
380	0	0	0	0.50	0.00	0.00	
381	0	0	0	0.50	0.00	0.00	
382	0	0	0	0.75	0.00	0.00	
383	0	0	0	0.75	0.00	0.00	
384	0	0	0	0.75	0.00	0.00	
385	0	0	0	0.75	0.00	0.00	
386	0	0	0	0.75	0.00	0.00	
387	0	0	0	0.75	0.00	0.00	
388	0	0	0	0.75	0.00	0.00	
389	0	0	0	0.75	0.00	0.00	
390	0	0	0	0.75	0.00	0.00	
391	0	0	0	0.75	0.00	0.00	
392	0	0	0	1.00	0.00	0.00	
393	0	0	0	1.00	0.00	0.00	
394	0	0	0	1.00	0.00	0.00	
395	0	0	0	1.00	0.00	0.00	
396	0	0	0	1.00	0.00	0.00	
397	0	0	0	1.00	0.00	0.00	
398	0	0	0	1.00	0.00	0.00	
399	0	0	0	1.00	0.00	0.00	
400	0	0	0	1.00	0.00	0.00	
401	0	0	0	1.00	0.00	0.00	
402	0	0	0	0.00	0.25	0.00	
403	1	0	0	0.00	0.25	0.00	
404	1	0	0	0.00	0.25	0.00	
405	1	0	0	0.00	0.25	0.00	
406	1	0	0	0.00	0.25	0.00	
407	1	0	0	0.00	0.25	0.00	
408	1	0	0	0.00	0.25	0.00	
409	1	0	0	0.00	0.25	0.00	
410	1	0	0	0.00	0.25	0.00	
411	1	0	0	0.00	0.25	0.00	
412	1	0	0	0.00	0.50	0.00	
413	1	0	0	0.00	0.50	0.00	
414	1	0	0	0.00	0.50	0.00	
415	1	0	0	0.00	0.50	0.00	
416	1	0	0	0.00	0.50	0.00	
417	1	0	0	0.00	0.50	0.00	
418	1	0	0	0.00	0.50	0.00	
419	1	0	0	0.00	0.50	0.00	
420	1	0	0	0.00	0.50	0.00	
421	1	0	0	0.00	0.50	0.00	
422	1	0	0	0.00	0.75	0.00	
423	1	0	0	0.00	0.75	0.00	
424	1	0	0	0.00	0.75	0.00	
425	1	0	0	0.00	0.75	0.00	
426	1	0	0	0.00	0.75	0.00	
427	1	0	0	0.00	0.75	0.00	
428	1	0	0	0.00	0.75	0.00	
429	1	0	0	0.00	0.75	0.00	
430	1	0	0	0.00	0.75	0.00	
431	1	0	0	0.00	0.75	0.00	
432	1	0	0	0.00	1.00	0.00	
433	1	0	0	0.00	1.00	0.00	
434	1	0	0	0.00	1.00	0.00	
435	1	0	0	0.00	1.00	0.00	
436	1	0	0	0.00	1.00	0.00	
437	1	0	0	0.00	1.00	0.00	
438	1	0	0	0.00	1.00	0.00	
439	1	0	0	0.00	1.00	0.00	
440	1	0	0	0.00	1.00	0.00	
441	1	0	0	0.00	1.00	0.00	
442	1	0	0	0.00	0.00	0.25	
443	2	0	0	0.00	0.00	0.25	
444	2	0	0	0.00	0.00	0.25	
445	2	0	0	0.00	0.00	0.25	
446	2	0	0	0.00	0.00	0.25	
447	2	0	0	0.00	0.00	0.25	
448	2	0	0	0.00	0.00	0.25	
449	2	0	0	0.00	0.00	0.25	
450	2	0	0	0.00	0.00	0.25	
451	2	0	0	0.00	0.00	0.25	
452	2	0	0	0.00	0.00	0.50	
453	2	0	0	0.00	0.00	0.50	
454	2	0	0	0.00	0.00	0.50	
455	2	0	0	0.00	0.00	0.50	
456	2	0	0	0.00	0.00	0.50	
457	2	0	0	0.00	0.00	0.50	
458	2	0	0	0.00	0.00	0.50	
459	2	0	0	0.00	0.00	0.50	
460	2	0	0	0.00	0.00	0.50	
461	2	0	0	0.00	0.00	0.50	
462	2	0	0	0.00	0.00	0.75	
463	2	0	0	0.00	0.00	0.75	
464	2	0	0	0.00	0.00	0.75	
465	2	0	0	0.00	0.00	0.75	
466	2	0	0	0.00	0.00	0.75	
467	2	0	0	0.00	0.00	0.75	
468	2	0	0	0.00	0.00	0.75	
469	2	0	0	0.00	0.00	0.75	
470	2	0	0	0.00	0.00	0.75	
471	2	0	0	0.00	0.00	0.75	
472	2	0	0	0.00	0.00	1.00	
473	2	0	0	0.00	0.00	1.00	
474	2	0	0	0.00	0.00	1.00	
475	2	0	0	0.00	0.00	1.00	
476	2	0	0	0.00	0.00	1.00	
477	2	0	0	0.00	0.00	1.00	
478	2	0	0	0.00	0.00	1.00	
479	2	0	0	0.00	0.00	1.00	
480	2	0	0	0.00	0.00	1.00	
481	2	0	0	0.00	0.00	1.00	
482	2	0	0	0.25	0.00	0.00	
483	0	0	0	0.25	0.00	0.00	
484	0	0	0	0.25	0.00	0.00	
485	0	0	0	0.25	0.00	0.00	
486	0	0	0	0.25	0.00	0.00	
487	0	0	0	0.25	0.00	0.00	
488	0	0	0	0.25	0.00	0.00	
489	0	0	0	0.25	0.00	0.00	
490	0	0	0	0.25	0.00	0.00	
491	0	0	0	0.25	0.00	0.00	
492	0	0	0	0.50	0.00	0.00	
493	0	0	0	0.50	0.00	0.00	
494	0	0	0	0.50	0.00	0.00	
495	0	0	0	0.50	0.00	0.00	
496	0	0	0	0.50	0.00	0.00	
497	0	0	0	0.50	0.00	0.00	
498	0	0	0	0.50	0.00	0.00	
499	0	0	0	0.50	0.00	0.00	
500	0	0	0	0.50	0.00	0.00	
501	0	0	0	0.50	0.00	0.00	
502	0	0	0	0.75	0.00	0.00	
503	0	0	0	0.75	0.00	0.00	
504	0	0	0	0.75	0.00	0.00	
505	0	0	0	0.75	0.00	0.00	
506	0	0	0	0.75	0.00	0.00	
507	0	0	0	0.75	0.00	0.00	
508	0	0	0	0.75	0.00	0.00	
509	0	0	0	0.75	0.00	0.00	
510	0	0	0	0.75	0.00	0.00	
511	0	0	0	0.75	0.00	0.00	
512	0	0	0	1.00	0.00	0.00	
513	0	0	0	1.00	0.00	0.00	
514	0	0	0	1.00	0.00	0.00	
515	0	0	0	1.00	0.00	0.00	
516	0	0	0	1.00	0.00	0.00	
517	0	0	0	1.00	0.00	0.00	
518	0	0	0	1.00	0.00	0.00	
519	0	0	0	1.00	0.00	0.00	
520	0	0	0	1.00	0.00	0.00	
521	0	0	0	1.00	0.00	0.00	
522	0	0	0	0.00	0.25	0.00	
523	1	0	0	0.00	0.25	0.00	
524	1	0	0	0.00	0.25	0.00	
525	1	0	0	0.00	0.25	0.00	
526	1	0	0	0.00	0.25	0.00	
527	1	0	0	0.00	0.25	0.00	
528	1	0	0	0.00	0.25	0.00	
529	1	0	0	0.00	0.25	0.00	
530	1	0	0	0.00	0.25	0.00	
531	1	0	0	0.00	0.25	0.00	
532	1	0	0	0.00	0.50	0.00	
533	1	0	0	0.00	0.50	0.00	
534	1	0	0	0.00	0.50	0.00	
535	1	0	0	0.00	0.50	0.00	
536	1	0	0	0.00	0.50	0.00	
537	1	0	0	0.00	0.50	0.00	
538	1	0	0	0.00	0.50	0.00	
539	1	0	0	0.00	0.50	0.00	
540	1	0	0	0.00	0.50	0.00	
541	1	0	0	0.00	0.50	0.00	
542	1	0	0	0.00	0.75	0.00	
543	1	0	0	0.00	0.75	0.00	
544	1	0	0	0.00	0.75	0.00	
545	1	0	0	0.00	0.75	0.00	
546	1	0	0	0.00	0.75	0.00	
547	1	0	0	0.00	0.75	0.00	
548	1	0	0	0.00	0.75	0.00	
549	1	0	0	0.00	0.75	0.00	
550	1	0	0	0.00	0.75	0.00	
551	1	0	0	0.00	0.75	0.00	
552	1	0	0	0.00	1.00	0.00	
553	1	0	0	0.00	1.00	0.00	
554	1	0	0	0.00	1.00	0.00	
555	1	0	0	0.00	1.00	0.00	
556	1	0	0	0.00	1.00	0.00	
557	1	0	0	0.00	1.00	0.00	
558	1	0	0	0.00	1.00	0.00	
559	1	0	0	0.00	1.00	0.00	
560	1	0	0	0.00	1.00	0.00	
561	1	0	0	0.00	1.00	0.00	
562	1	0	0	0.00	0.00	0.25	
563	2	0	0	0.00	0.00	0.25	
564	2	0	0	0.00	0.00	0.25	
565	2	0	0	0.00	0.00	0.25	
566	2	0	0	0.00	0.00	0.25	
567	2	0	0	0.00	0.00	0.25	
568	2	0	0	0.00	0.00	0.25	
569	2	0	0	0.00	0.00	0.25	
570	2	0	0	0.00	0.00	0.25	
571	2	0	0	0.00	0.00	0.25	
572	2	0	0	0.00	0.00	0.50	
573	2	0	0	0.00	0.00	0.50	
574	2	0	0	0.00	0.00	0.50	
575	2	0	0	0.00	0.00	0.50	
576	2	0	0	0.00	0.00	0.50	
577	2	0	0	0.00	0.00	0.50	
578	2	0	0	0.00	0.00	0.50	
579	2	0	0	0.00	0.00	0.50	
580	2	0	0	0.00	0.00	0.50	
581	2	0	0	0.00	0.00	0.50	
582	2	0	0	0.00	0.00	0.75	
583	2	0	0	0.00	0.00	0.75	
584	2	0	0	0.00	0.00	0.75	
585	2	0	0	0.00	0.00	0.75	
586	2	0	0	0.00	0.00	0.75	
587	2	0	0	0.00	0.00	0.75	
588	2	0	0	0.00	0.00	0.75	
589	2	0	0	0.00	0.00	0.75	
590	2	0	0	0.00	0.00	0.75	
591	2	0	0	0.00	0.00	0.75	
592	2	0	0	0.00	0.00	1.00	
593	2	0	0	0.00	0.00	1.00	
594	2	0	0	0.00	0.00	1.00	
595	2	0	0	0.00	0.00	1.00	
596	2	0	0	0.00	0.00	1.00	
597	2	0	0	0.00	0.00	1.00	
598	2	0	0	0.00	0.00	1.00	
599	2	0	0	0.00	0.00	1.00	
600	2	0	0	0.00	0.00	1.00	
601	2	0	0	0.00	0.00	1.00	
602	2	0	0	0.25	0.00	0.00	
603	0	0	0	0.25	0.00	0.00	
604	0	0	0	0.25	0.00	0.00	
605	0	0	0	0.25	0.00	0.00	
606	0	0	0	0.25	0.00	0.00	
607	0	0	0	0.25	0.00	0.00	
608	0	0	0	0.25	0.00	0.00	
609	0	0	0	0.25	0.00	0.00	
610	0	0	0	0.25	0.00	0.00	
611	0	0	0	0.25	0.00	0.00	
612	0	0	0	0.50	0.00	0.00	
613	0	0	0	0.50	0.00	0.00	
614	0	0	0	0.50	0.00	0.00	
615	0	0	0	0.50	0.00	0.00	
616	0	0	0	0.50	0.00	0.00	
617	0	0	0	0.50	0.00	0.00	
618	0	0	0	0.50	0.00	0.00	
619	0	0	0	0.50	0.00	0.00	
620	0	0	0	0.50	0.00	0.00	
621	0	0	0	0.50	0.00	0.00	
622	0	0	0	0.75	0.00	0.00	
623	0	0	0	0.75	0.00	0.00	
624	0	0	0	0.75	0.00	0.00	
625	0	0	0	0.75	0.00	0.00	
626	0	0	0	0.75	0.00	0.00	
627	0	0	0	0.75	0.00	0.00	
628	0	0	0	0.75	0.00	0.00	
629	0	0	0	0.75	0.00	0.00	
630	0	0	0	0.75	0.00	0.00	
631	0	0	0	0.75	0.00	0.00	
632	0	0	0	1.00	0.00	0.00	
633	0	0	0	1.00	0.00	0.00	
634	0	0	0	1.00	0.00	0.00	
635	0	0	0	1.00	0.00	0.00	
636	0	0	0	1.00	0.00	0.00	
637	0	0	0	1.00	0.00	0.00	
638	0	0	0	1.00	0.00	0.00	
639	0	0	0	1.00	0.00	0.00	
640	0	0	0	1.00	0.00	0.00	
641	0	0	0	1.00	0.00	0.00	
642	0	0	0	0.00	0.25	0.00	
643	1	0	0	0.00	0.25	0.00	
644	1	0	0	0.00	0.25	0.00	
645	1	0	0	0.00	0.25	0.00	
646	1	0	0	0.00	0.25	0.00	
647	1	0	0	0.00	0.25	0.00	
648	1	0	0	0.00	0.25	0.00	
649	1	0	0	0.00	0.25	0.00	
650	1	0	0	0.00	0.25	0.00	
651	1	0	0	0.00	0.25	0.00	
652	1	0	0	0.00	0.50	0.00	
653	1	0	0	0.00	0.50	0.00	
654	1	0	0	0.00	0.50	0.00	
655	1	0	0	0.00	0.50	0.00	
656	1	0	0	0.00	0.50	0.00	
657	1	0	0	0.00	0.50	0.00	
658	1	0	0	0.00	0.50	0.00	
659	1	0	0	0.00	0.50	0.00	
660	1	0	0	0.00	0.50	0.00	
661	1	0	0	0.00	0.50	0.00	
662	1	0	0	0.00	0.75	0.00	
663	1	0	0	0.00	0.75	0.00	
